NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
FLUESOCIL;FLUDESOXIGLICOSE 18F;AGENTES DIAGNOSTICOS RADIOATIVOS;R2 SOLUCOES EM RADIOFARMACIA LTDA.
HILAM;MELOXICAM;ANTINFLAMATORIOS;PRATI DONADUZZI & CIA LTDA
INZELM;FUMARATO DE VONOPRAZANA;MEDICAMENTOS PARA ULCERA PAPTICA E DOENCAS DE REFLUXO GASTRESOFAGICO;TAKEDA PHARMA LTDA.
HIDROCLOROTIAZIDA;HIDROCLOROTIAZIDA;DIURETICOS SIMPLES;PRATI DONADUZZI & CIA LTDA
AZENTEX;acido zoledronico monoidratado;BIFOSFONATOS , ASSOCIACOES;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
BETAMETASONA;BETAMETASONA;GLICOCORTICOIDES SISTEMICOS;PRATI DONADUZZI & CIA LTDA
PRYSMA;ESZOPICLONA;HIPNOTICOS;EUROFARMA LABORATORIOS S.A.
CETOPROFENO;CETOPROFENO;ANTIINFLAMATORIOS E ANTIREUMATICOS;EMS S/A
OXIGENIO LIQUIDO MEDICINAL;OXIGENIO;;AIR LIQUIDE BRASIL LTDA
TEBONIN;GINKGO BILOBA L.;VASODILATADORES;HERBARIUM LABORATORIO BOTANICO LTDA
TRIDIL;NITROGLICERINA;ANTIANGINOSOS E VASODILATADORES;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
CAVERJECT;ALPROSTADIL;VASODILATADORES;PFIZER BRASIL LTDA
DELTA - IFAL;DELTAMETRINA;ESCABICIDAS E OUTROS ECTOPARASITICIDAS;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
GLIBENCLAMIDA;GLIBENCLAMIDA;ANTIDIABETICOS;RANBAXY FARMACEUTICA LTDA
DICLORIDRATO DE FLUNARIZINA;DICLORIDRATO DE FLUNARIZINA;VASODILATADORES;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
LIMPLENTE;;;LABORATORIO FARMACEUTICO DO RECIFE LTDA
SYNFLORIX;POLISSACARIDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1, POLISSACARIDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 1, POLISSACARIDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4 , POLISSACARIDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 4, POLISSACARIDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5, POLISSACARIDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 5, POLI;VACINAS;GLAXOSMITHKLINE BRASIL LTDA
BENFIBE;BENFOTIAMINA;MONOVITAMINAS EXCETO VITAMINA K;MYRALIS INDUSTRIA FARMACEUTICA LTDA
OCTREOTATO TETRAXETANA (68 GA);OCTREOTATO TETRAXETANA (68 GA);;HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DA USP
SORO ANTILATRODACTICO (LATRODECTUS CURACAVIENSIS);SORO ANTILATRODACTICO (LATRODECTUS CURACAVIENSIS);SOROS IMUNOPROTETORES;INSTITUTO VITAL BRAZIL S/A
ATENOLOL + CLORTALIDONA;ATENOLOL, CLORTALIDONA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;EMS S/A
CAPOX;CAPTOPRIL;ANTI-HIPERTENSIVOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
ALCACHOFRA ASPEN PHARMA;CYNARA SCOLYMUS L.;COLAGOGOS E COLERETICOS;ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA
SYBRAVA;INCLISIRANA SODICA;ANTILIPEMICOS;NOVARTIS BIOCIENCIAS S.A
GABAPENTINA;GABAPENTINA;ANTICONVULSIVANTES;EUROFARMA LABORATORIOS S.A.
SULFATO DE SALBUTAMOL;SULFATO DE SALBUTAMOL;BRONCODILATADORES;LABORATORIO TEUTO BRASILEIRO S/A
CBEQUIM;CETOCONAZOL, DIPROPIONATO DE BETAMETASONA, SULFATO DE NEOMICINA;ANTIMICOTICOS PARA USO TOPICO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
CLORIDRATO DE CIPROFLOXACINO;CLORIDRATO DE CIPROFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;PRATI DONADUZZI & CIA LTDA
TRIFAMOX;AMOXICILINA SODICA, AMOXICILINA TRI-hIDRATADA, SULBACTAM SODICo, sulbactam pivoxila;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;LABORATORIOS BAGE DO BRASIL S/A
DRENATAN;LATANOPROSTA;PROSTAGLANDINAS;GERMED FARMACEUTICA LTDA
DESLORATADINA;DESLORATADINA;ANTI-HISTAMINICOS SISTEMICOS;CIFARMA CIENTIFICA FARMACEUTICA LTDA
HUMALOG MIX;insulina LISPRO;ANTIDIABETICOS;ELI LILLY DO BRASIL LTDA
TARTARATO DE BRIMONIDINA;TARTARATO DE BRIMONIDINA;ANTIGLAUCOMATOSOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
DECITABINA;DECITABINA;ANTINEOPLASICOS CITOTOXICOS;ACCORD FARMACEUTICA LTDA
SIMETICONA 125 MG;;;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
SVIR;SAQUINAVIR;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
ACHEFLAN;CORDIA VERBENACEA DC.;;ACHE LABORATORIOS FARMACEUTICOS S.A
ACTIFEDRIN;CLORIDRATO DE PSEUDOEFEDRINA, CLORIDRATO DE TRIPROLIDINA;ANTI-HISTAMINICOS SISTEMICOS;FARMOQUIMICA S/A
AMOXICILINA TRIIDRATADA;AMOXICILINA TRI-hIDRATADA;PENICILINA DE AMPLO ESPECTRO;ACHE LABORATORIOS FARMACEUTICOS S.A
DEXLANSOPRAZOL;DEXLANSOPRAZOL SESQUI-HIDRATADO;ANTIACIDOS E ANTIULCEROSOS;VIATRIS FARMACEUTICA DO BRASIL LTDA
TADALAFILA;TADALAFILA;VASODILATADORES;PHARLAB INDUSTRIA FARMACEUTICA S.A.
TALCO MENTOLADO;;;AMAZONAS COMERCIO E INDUSTRIA DE PRODUTOS QUIMICOS LTDA
ANTIMICOTICO DAUF/NEEDS;;;LABORATORIO PERNAMBUCANO LTDA.
DORENE TABS;PREGABALINA;ANTICONVULSIVANTES;ACHE LABORATORIOS FARMACEUTICOS S.A
PERMANGANATO DE POTASSIO;;;FEDERAL INDUSTRIA QUIMICA E FARMACEUTICA LTDA
EVOREL;PARACETAMOL, FOSFATO DE CODEINA;ANALGESICOS NARCOTICOS;CELLERA FARMACEUTICA S.A.
SONRIDOR;PARACETAMOL;ANALGESICOS NAO NARCOTICOS;PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE ME
LIQUIDO DE DAKIM;;;RIOQUIMICA S.A.
CLORIDRATO DE CICLOBENZAPRINA;CLORIDRATO DE CICLOBENZAPRINA;RELAXANTES MUSCULARES;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
LENZETTO;ESTRADIOL HEMI-HIDRATADO;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS;GEDEON RICHTER DO BRASIL IMPORTADORA, EXPORTADORA E DISTRIBUIDO
BARIOGEL;SULFATO DE BARIO;CONTRASTES RADIOLOGICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
SORO ANTIELAPADICO;Imunoglobulina Heterologa contra veneno de Micrurus;SOROS IMUNOPROTETORES;FUNDACAO EZEQUIEL DIAS - FUNED
CLORETO DE POTASSIO;CLORETO DE POTASSIO;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;SANTISA LABORATORIO FARMACEUTICO S/A
MONURIL;FOSFOMICINA TROMETAMOL;ANTIBIOTICOS SISTEMICOS SIMPLES;ZAMBON LABORATORIOS FARMACEUTICOS LTDA.
DEXTAFLAM;MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA;ANTI-HISTAMINICOS SISTEMICOS;CIFARMA CIENTIFICA FARMACEUTICA LTDA
NASACORT;ACETONIDA DE TRIANCINOLONA;GLICOCORTICOIDES SISTEMICOS;OPELLA HEALTHCARE BRAZIL LTDA
NIMUS BETA;NIMESULIDA BETACICLODEXTRINA;ANTINFLAMATORIOS;EUROFARMA LABORATORIOS S.A.
FUMARATO DE DIMETILA;fumarato de dimetila;OUTROS PRODUTOS COM ACAO IMUNOPROTETORA;ACCORD FARMACEUTICA LTDA
SULFAMETOXAZOL+TRIMETOPRIMA;SULFAMETOXAZOL, TRIMETOPRIMA;TRIMETOPRIMA EM ASSOCIACAO COM SULFAS;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
FLUTINOL;ACETATO DE FLUORMETOLONA;GLICOCORTICOIDES TOPICO OFTALMOLOGICO SIMPLES;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
KANJINTI;TRASTUZUMABE;ANTINEOPLASICO;AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
MESILATO DE DESFERROXAMINA;MESILATO DE DESFERROXAMINA;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
NAPROXENO;NAPROXENO;ANTINFLAMATORIOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
OLMEGRAN HCT;OLMESARTANA MEDOXOMILA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
ARPAFITO;HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.;;GEOLAB INDUSTRIA FARMACEUTICA S/A
LEITE DE MAGNESIA CARESSE;;;LABORATORIO FARMACEUTICO CARESSE LTDA ME
LIRACLICK;liraglutida;OUTROS HORMONIOS E MODULADORES DO METABOLISMO E DA DIGESTAO;GERMED FARMACEUTICA LTDA
MALEATO DE ENALAPRIL;MALEATO DE ENALAPRIL;ANTI-HIPERTENSIVOS;HIPOLABOR FARMACEUTICA LTDA
PARACETAMOL;PARACETAMOL;ANALGESICOS NAO NARCOTICOS;UNITHER INDUSTRIA FARMACEUTICA LTDA.
PERDAMA;ESTRADIOL HEMI-HIDRATADO, DROSPIRENONA;ESTROGENOS ASSOCS A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;EUROFARMA LABORATORIOS S.A.
SENSAZ;ARIPIPRAZOL;ANTIPSICOTICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
ALCOOL 70;;;INDUSTRIA FARMACEUTICA SANTA RITA DE CASSIA LTDA - EPP
BICARBONATO DE SODIO RIOQUIMICA;;;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
CETOCONAZOL;CETOCONAZOL;ANTIMICOTICO;LABORATORIO TEUTO BRASILEIRO S/A
DOBUTREX;CLORIDRATO DE DOBUTAMINA;OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO;ANTIBIOTICOS DO BRASIL LTDA
IBUMEDFEM;IBUPROFENO;ANTINFLAMATORIOS ANTIREUMATICOS;CIMED INDUSTRIA S.A
OLIZU;SERPLULIMABE;AGENTES ANTINEOPLASICOS;ABBOTT LABORATORIOS DO BRASIL LTDA
VIGAMOX;CLORIDRATO DE MOXIFLOXACINO;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;NOVARTIS BIOCIENCIAS S.A
DACARB;DACARBAZINA;ANTINEOPLASICO;EUROFARMA LABORATORIOS S.A.
MELOXICAM;MELOXICAM;ANTINFLAMATORIOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
OCUBIN;BIMATOPROSTA;ANTIGLAUCOMATOSOS;EMS SIGMA PHARMA LTDA
PREDMICIN;SULFATO DE POLIMIXINA B, PREDNISOLONA, BENZOCAINA, CLIOQUINOL;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;EMS S/A
XELJANZ;citrato de tofacitinibe;IMUNOSUPRESSOR;PFIZER BRASIL LTDA
BUPSTESIC;CLORIDRATO DE BUPIVACAINA;ANESTESICOS LOCAIS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
REGRESSA;BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;ACHE LABORATORIOS FARMACEUTICOS S.A
RENOPRIL;MALEATO DE ENALAPRIL;ANTI-HIPERTENSIVOS;BELFAR LTDA
TINTURA DE IODO FORTE - IODO TINTURA 5%;;;AMAZONAS COMERCIO E INDUSTRIA DE PRODUTOS QUIMICOS LTDA
CLORIDRATO DE ONDANSETRONA;CLORIDRATO DE ONDANSETRONA DI-hIDRATADO;ANTIEMETICOS E ANTINAUSEANTES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
ERTAPENEM SODICO;ERTAPENEM SODICO;ANTIBIOTICOS SISTEMICOS SIMPLES;EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA
GOTAS BINELLI;DROPROPIZINA;ANTITUSSIGENOS SIMPLES;MEGALABS FARMACEUTICA S.A.
CAPTOPRIL;CAPTOPRIL;ANTI-HIPERTENSIVOS SIMPLES;BRASTERAPICA PHARMACEUTICA LTDA.
HYPERINAT;HYPERICUM PERFORATUM L.;FITOTERAPICO SIMPLES;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
XUNIB;MALATO DE SUNITINIBE;ANTINEOPLASICO;NATCOFARMA DO BRASIL LTDA
BYEROXU;heparina sodica bovina;ANTIVARICOSOS TOPICOS;ABBOTT LABORATORIOS DO BRASIL LTDA
CLORIDRATO DE FLUOXETINA;CLORIDRATO DE FLUOXETINA;ANTIDEPRESSIVOS;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.
CLORIDRATO DE IVABRADINA;CLORIDRATO DE IVABRADINA;ANTIANGINOSOS E VASODILATADORES;TORRENT DO BRASIL LTDA
PISA;dicloridrato de pramipexol monoidratado;ANTIPARKINSONIANOS;EUROFARMA LABORATORIOS S.A.
TOPIRAMATO;TOPIRAMATO;ANTICONVULSIVANTES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
ADACNE;ADAPALENO;PRODUTOS ANTI-ACNE;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
BROMETO DE IPRATROPIO;BROMETO DE IPRATROPIO;BRONCODILATADORES;PRATI DONADUZZI & CIA LTDA
DIMEFTAL EMULSAO ORAL;;;GEOLAB INDUSTRIA FARMACEUTICA S/A
EGIDE;TOPIRAMATO;ANTICONVULSIVANTES;LIBBS FARMACEUTICA LTDA
MESILATO DE DOXAZOSINA;MESILATO DE DOXAZOSINA;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
NOVOLIN N;INSULINA HUMANA;ANTIDIABETICOS;NOVO NORDISK FARMACEUTICA DO BRASIL LTDA
PARACETAMOL + FOSFATO DE CODEINA;PARACETAMOL, FOSFATO DE CODEINA;ANALGESICOS NARCOTICOS;CELLERA FARMACEUTICA S.A.
BENZOILMETRONIDAZOL;BENZOILMETRONIDAZOL;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;BELFAR LTDA
VACINA ADSORVIDA DIFTERIA, TETANO E PERTUSIS (ACELULAR);Toxoide pertussis, Hemaglutinina Filamentosa, FAMBRIAS, Pertactina, Toxoide difterico, Toxoide Tetanico;VACINAS;SANOFI MEDLEY FARMACEUTICA LTDA.
VANULA;hidrosmina;ANTIVARICOSOS DE ACAO SISTEMICA;BIOLAB SANUS FARMACEUTICA LTDA
IBUPROFENO;IBUPROFENO;ANALGESICOS NAO NARCOTICOS;LABORATORIO GLOBO SA
LACIPIL;LACIDIPINo;ANTI-HIPERTENSIVOS SIMPLES;GLAXOSMITHKLINE BRASIL LTDA
NATIFA PRO UBD;ESTRADIOL HEMI-HIDRATADO, ACETATO DE NORETISTERONA;ESTROGENOS ASSOCS A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;LIBBS FARMACEUTICA LTDA
VALSARTANA;VALSARTANA;ANTI-HIPERTENSIVOS SIMPLES;EUROFARMA LABORATORIOS S.A.
CLOPIVIX;BISSULFATO DE CLOPIDOGREL;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
TOPIREX;PROPIONATO DE CLOBETASOL;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
AMOXICILINA SODICA + CLAVULANATO DE POTASSIO;AMOXICILINA SODICA, CLAVULANATO DE POTASSIO;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;NEWCOM FARMACEUTICA LTDA.
RPHLIMPHA;ACIDO FATICO;AGENTES DIAGNOSTICOS NAO RADIOATIVOS;MJM PRODUTOS FARMACEUTICOS E DE RADIOPROTECAO S.A.
INTESTIN;CLORIDRATO DE LOPERAMIDA;ANTIDIARREICOS SIMPLES SEM ACAO ANTIMICROBIANA;LABORATORIO GLOBO SA
ESPIRONOLACTONA;ESPIRONOLACTONA;DIURETICOS SIMPLES;FUNDACAO PARA O REMEDIO POPULAR - FURP
BENICAR ODT;OLMESARTANA MEDOXOMILA;;DAIICHI SANKYO BRASIL FARMACEUTICA LTDA
CLORIDRATO DE BUPROPIONA + CLORIDRATO DE NALTREXONA;CLORIDRATO DE BUPROPIONA, CLORIDRATO DE NALTREXONA DI-HIDRATADO;PREPARACOES ANTIOBESIDADE, EXCLUINDO PRODUTOS DIETATICOS;EUROFARMA LABORATORIOS S.A.
CIPROFLOXACINO;CIPROFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;FARMARIN INDUSTRIA E COMERCIO LTDA
CLORIDRATO DE RANITIDINA;CLORIDRATO DE RANITIDINA;ANTIULCEROSOS;HIPOLABOR FARMACEUTICA LTDA
LYBERDIA;DIMESILATO DE LISDEXANFETAMINA;PSICOANALETICOS;EMS S/A
TESTE;;;FBM INDUSTRIA FARMACEUTICA LTDA
AMOXICILINA;AMOXICILINA;PENICILINA DE AMPLO ESPECTRO;MCG INDUSTRIA FARMACEUTICA E IMPORTACAO LTDA
CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
CITRATO DE SILDENAFILA;CITRATO DE SILDENAFILA;VASODILATADORES;EUROFARMA LABORATORIOS S.A.
DIENOGESTE;DIENOGESTe;PROGESTAGENOS SIMPLES;EUROFARMA LABORATORIOS S.A.
AMOXICILINA + CLAVULANATO DE POTASSIO;AMOXICILINA SODICA, CLAVULANATO DE POTASSIO;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;LABORATORIO TEUTO BRASILEIRO S/A
OXOTRON;LOXOPROFENO SODICO;ANTINFLAMATORIOS;ACHE LABORATORIOS FARMACEUTICOS S.A
CLORIDRATO DE DONEPEZILA;CLORIDRATO DE DONEPEZILA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
LYDIAN;ACETATO DE CIPROTERONA, ETINILESTRADIOL;ESTROGENOS ASSOCS A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
SOROZINC;CLORETO DE POTASSIO, GLICOSE, CITRATO DE SODIO DI-hIDRATADO, CLORETO DE SODIO, GLICONATO DE ZINCO;REIDRATANTES ORAIS;CIFARMA CIENTIFICA FARMACEUTICA LTDA
TINIDAZOL + NITRATO DE MICONAZOL;TINIDAZOL, NITRATO DE MICONAZOL;ANTIMICOTICO;PRATI DONADUZZI & CIA LTDA
HEMIFUMARATO DE QUETIAPINA;hemifumarato de quetiapina;ANTIPSICOTICOS;SANOFI MEDLEY FARMACEUTICA LTDA.
DOCETAXEL;DOCETAXEL TRI-HIDRATADO;ANTINEOPLASICOS CITOTOXICOS;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
POMADA MINANCORA;OXIDO DE ZINCO, CLORETO DE BENZALCONIO, CANFORA;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;MINANCORA & CIA LTDA
ALPHABRIN;TARTARATO DE BRIMONIDINA;ANTIGLAUCOMATOSOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
RUBENTI;CLORIDRATO DE MEBEVERINA;ANTIESPASMODICOS;ABBOTT LABORATORIOS DO BRASIL LTDA
TOBRAMICINA;TOBRAMICINA;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
CEFALEXINA MONOIDRATADA;CEFALEXINA;CEFALOSPORINAS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
CYSTOREN;FOSFOMICINA TROMETAMOL;ANTIBIOTICOS SISTEMICOS SIMPLES;ZYDUS NIKKHO FARMACEUTICA LTDA
MEL ROSADO;;;FEDERAL INDUSTRIA QUIMICA E FARMACEUTICA LTDA
YERVOY;ipilimumabe;ANTINEOPLASICO;BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA
CEFAZOLINA SODICA;CEFAZOLINA SODICA;CEFALOSPORINAS;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA
DOXOPEG;CLORIDRATO DE DOXORRUBICINA;ANTIBIOTICOS ANTINEOPLASICOS;ADIUM S.A.
HALOPERIDOL;HALOPERIDOL;NEUROLEPTICOS;PRATI DONADUZZI & CIA LTDA
STUB;CLORIDRATO DE TANSULOSINA;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;BIOLAB SANUS FARMACEUTICA LTDA
TRIAXTON;CLORIDRATO DE LIDOCAINA MONOIDRATADA , CEFTRIAXONA DISSODICA HEMIEPTAIDRATADA;CEFALOSPORINAS;BLAU FARMACEUTICA S.A.
FRONTLEV;LEVETIRACETAM;ANTICONVULSIVANTES;ACHE LABORATORIOS FARMACEUTICOS S.A
MYOZYME;alfa-alglicosidase;ENZIMA PARA REPOSICAO;SANOFI MEDLEY FARMACEUTICA LTDA.
GLIMEPIRIDA;GLIMEPIRIDA;ANTIDIABETICOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
HEMIFUMARATO DE BISOPROLOL;hemiFUMARATO DE BISOPROLOL;BETABLOQUEADORES SIMPLES;RANBAXY FARMACEUTICA LTDA
NASOLIN SORO;;;CIFARMA CIENTIFICA FARMACEUTICA LTDA
POMADERME;PALMITATO DE RETINOL, COLECALCIFEROL, OXIDO DE ZINCO;CICATRIZANTES;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
SOLUcaO FISIOLOGICA DE CLORETO DE SODIO A 0,9%;;;HEMAFARMA COM. E IND. FARM. LTDA
MAGNOPYROL;DIPIRONA;ANALGESICOS NAO NARCOTICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
NEUTROFER FOLICO;BISGLICINATO FERROSO, ACIDO FOLICO;ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS;EMS SIGMA PHARMA LTDA
ONDSET INJ;CLORIDRATO DE ONDANSETRONA DI-hIDRATADO;ANTIEMETICOS E ANTINAUSEANTES;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
ATENOLOL;ATENOLOL;BETABLOQUEADORES SIMPLES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
BROMIDRATO DE GALANTAMINA;BROMIDRATO DE GALANTAMINA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
PAROX;CLORIDRATO DE PAROXETINA;ANTIDEPRESSIVOS;LABORATORIO TEUTO BRASILEIRO S/A
TESTE 1;;;AIRELA INDUSTRIA FARMACEUTICA LTDA.
UNIFENTAL;CITRATO DE FENTANILA;ANALGESICOS NARCOTICOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
FILDERME;;;GEYER MEDICAMENTOS S/A
GAVIZ (MORANGO / HORTELA);;;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
HAEMOCOMPLETTAN P;FIBRINOGENIO;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA;CSL BEHRING COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
IODOPOLIVIDONA COM TENSOATIVO;;;FARMAX S.A.
PROHAIR;FINASTERIDA;INIBIDOR DA ALFA-REDUTASE;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
VACINA MENINGOCOCICA ACWY (CONJUGADA);Oligossacarideo Meningococico A, Proteina Diftarica CRM 197, OLIGOSSACARIDEO MENINGOCOCICO DO GRUPO C, Oligossacarideo Meningococico W135, Oligossacarideo Meningococico Y;VACINAS;FUNDACAO OSWALDO CRUZ
ALPRAZOLAM;ALPRAZOLAM;ANSIOLITICOS SIMPLES;GERMED FARMACEUTICA LTDA
FIXIDRAT SAIS PARA REIDRATACAO ORAL;;;LABORATORIO TAYUYNA LTDA
NIMESULIDA;NIMESULIDA;ANTINFLAMATORIOS;EUROFARMA LABORATORIOS S.A.
UNHAGOLD;;;NATULAB LABORATORIO S.A
CIPOFLOU;CIPROFIBRATO;ANTILIPEMICOS;CIMED INDUSTRIA S.A
CLORIDRATO DE MOXIFLOXACINO;CLORIDRATO DE MOXIFLOXACINO;ANTI-INFECCIOSOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
DIAZEPAM;DIAZEPAM;ANSIOLITICOS SIMPLES;SANTISA LABORATORIO FARMACEUTICO S/A
SPASMEX;CLORETO DE TRASPIO;;APSEN FARMACEUTICA S/A
CLORIDRATO DE BUPROPIONA;CLORIDRATO DE BUPROPIONA;ANTIDEPRESSIVOS;EUROFARMA LABORATORIOS S.A.
MOMATE;FUROATO DE MOMETASONA MONOIDRATADO;PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA;GLENMARK FARMACEUTICA LTDA
NOCLAR;denosumabe;OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO;BIONOVIS S.A. - COMPANHIA BRASILEIRA DE BIOTECNOLOGIA FARMACEUT
PERGO;DICLORIDRATO DE HIDROXIZINA;ANTI-HISTAMINICOS SISTEMICOS;EUROFARMA LABORATORIOS S.A.
ALBENDAZOL;ALBENDAZOL;;LABORATORIO TEUTO BRASILEIRO S/A
BROMETO DE ROCURONIO;BROMETO DE ROCURONIO;BLOQUEADOR NEUROMUSCULAR;ANTIBIOTICOS DO BRASIL LTDA
CPHD BICARBONATO DE SODIO 8,4 %;BICARBONATO DE SODIO;PRODUTOS PARA HEMODIALISE;FRESENIUS MEDICAL CARE LTDA
SALONPAS PAIN RELIEF PATCH;SALICILATO DE METILA, LEVOMENTOL;ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS MEDICAMENTOSAS;HISAMITSU FARMACEUTICA DO BRASIL LTDA
